#File format: word,sPoint,nPoint,yPoint

#Sayori's winning words
felicidad,3,2,1
tristeza,3,2,1
muerte,3,1,2
tragedia,3,1,2
solo,3,1,2
amor,3,2,1
aventuras,3,2,1
dulce,3,2,1
emocion,3,2,1
cuetes,3,2,1
romance,3,2,1
lagrimas,3,1,2
depresion,3,1,2
corazon,3,2,1
matrimonio,3,2,1
pasion,3,2,1
infancia,3,2,1
diversion,3,2,1
color,3,2,1
esperanza,3,1,2
amigos,3,2,1
familia,3,2,1
fiesta,3,2,1
vacaciones,3,2,1
perezoso,3,2,1
sueño,3,1,2
dolor,3,1,2
fiesta,3,2,1
cama,3,2,1
pluma,3,2,1
verguenza,3,1,2
miedo,3,1,2
calentar,3,2,1
flor,3,2,1
comodidad,3,2,1
baile,3,2,1
canto,3,2,1
llorar,3,1,2
reir,3,2,1
oscuridad,3,1,2
soleado,3,2,1
nube,3,2,1
calma,3,1,2
tonto,3,2,1
volando,3,2,1
maravilloso,3,2,1
incorrespondido,3,1,2
rosa,3,1,2
juntos,3,2,1
promesa,3,2,1
encanto,3,2,1
belleza,3,2,1
animar,3,2,1
sonrisa,3,2,1
roto,3,1,2
precioso,3,2,1
oracion,3,1,2
torpe,3,2,1
perdonar,3,1,2
naturaleza,3,2,1
oceano,3,2,1
deslumbrar,3,2,1
especial,3,2,1
musica,3,2,1
suerte,3,2,1
desgracia,3,1,2
ruidoso,3,2,1
pacifico,3,1,2
alegria,3,1,2
atardecer,3,2,1
luciernagas,3,2,1
arcoiris,3,2,1
lastimado,3,1,2
juego,3,2,1
chispa,3,2,1
cicatrices,3,1,2
vacio,3,1,2
increible,3,2,1
pena,3,1,2
abrazo,3,1,2
extraordinario,3,2,1
impresionante,3,2,1
derrota,3,1,2
sin esperanza,3,1,2
miseria,3,1,2
tesoro,3,2,1
bienaventuranza,3,2,1
recuerdos,3,2,1

#Natsuki's words
lindo,2,3,1
esponjoso,2,3,1
puro,1,3,2
caramelos,2,3,1
compras,2,3,1
cachorro,2,3,1
gatito,2,3,1
nubes,2,3,1
labial,1,3,2
perfecto,2,3,1
fresa,2,3,1
rosa,2,3,1
chocolate,2,3,1
corazon,1,3,2
beso,1,3,2
melodia,2,3,1
cinta,2,3,1
nervioso,2,3,1
doki-doki,2,3,1
kawaii,2,3,1
falda,2,3,1
mejillas,2,3,1
e-mail,2,3,1
pegajoso,2,3,1
hinchables,2,3,1
brillante,2,3,1
mordisquear,2,3,1
fantasia,1,3,2
azucar,2,3,1
risa,2,3,1
malvavisco,2,3,1
hop,2,3,1
saltarse,2,3,1
paz,2,3,1
girando,2,3,1
giro,2,3,1
piruleta,2,3,1
poof,2,3,1
burbujas,2,3,1
susurro,2,3,1
verano,2,3,1
cascada,1,3,2
bikini,2,3,1
vainilla,2,3,1
auriculares,2,3,1
juegos,2,3,1
calcetines,2,3,1
cabello,2,3,1
parque,2,3,1
camison,1,3,2
manta, 1,3,2
leche,2,3,1
puchero,2,3,1
ira,2,3,1
papa,2,3,1
san valentin,2,3,1
raton,1,3,2
silbato,2,3,1
boop,2,3,1
conejito,2,3,1
animo,2,3,1
saltar,2,3,1

#Yuri's words
determinacion,1,1,3
suicidio,2,1,3
imaginacion,2,1,3
reservado,2,1,3
vitalidad,1,1,3
existencia,2,1,3
refulgente,1,1,3
carmesi,1,1,3
torbellino,1,1,3
imagen residual,1,1,3
vertigo,1,1,3
desorientado,1,1,3
esencia,2,1,3
ambiente,2,1,3
estrellas,2,1,3
desorden,1,1,3
contaminacion,1,1,3
intelectual,1,1,3
analisis,1,1,3
entropia,1,1,3
vivaz,1,1,3
asombroso,2,1,3
incongruente,1,1,3
ira,2,1,3
del cielo,2,1,3
masacre,2,1,3
filosofia,1,1,3
voluble,1,1,3
tenaz,1,1,3
aura,2,1,3
inestable,1,1,3
infierno,2,1,3
incapaz,2,1,3
destino,2,1,3
infalible,1,1,3
agonizante,2,1,3
varianza,1,1,3
incontrolable,2,1,3
extrema,1,1,3
huir,2,1,3
sueño,2,2,3
desastre,2,1,3
vivido,2,1,3
vibrante,1,2,3
pregunta,1,2,3
fester,2,1,3
juicio,1,1,3
jaula,1,2,3
explotar,1,2,3
placer,1,2,3
lujuria,1,2,3
sensacion,1,2,3
climax,1,2,3
electricidad,1,2,3
repudiar,1,1,3
despreciar,2,1,3
infinito,2,1,3
eternidad,2,1,3
tiempo,2,1,3
universo,2,1,3
interminable,2,1,3
lluvioso,2,1,3
codiciar,1,1,3
desenfrenado,1,1,3
paisaje,2,1,3
retrato,2,1,3
viaje,2,1,3
pobre,1,1,3
ansiedad,2,1,3
aterrador,2,1,3
horror,2,1,3
melancolia,2,1,3
perspicacia,2,1,3
expiar,2,1,3
respirar,1,2,3
cautivo,2,1,3
deseo,1,2,3
cementerio,2,1,3
